see you tomorrow	a domani
to know	conoscere<br><br><strong>conobbi</strong>, conoscesti, <strong>conobbe</strong>, conoscemmo, conosceste, <strong>conobbero</strong>
to break	rompere<br><br><strong>ruppi</strong>, rompesti, <strong>ruppe</strong>, rompemmo, rompeste, <strong>ruppero</strong>
to know	sapere<br><br><strong>seppi</strong>, sapesti, <strong>seppe</strong>, sapemmo, sapeste, <strong>seppero</strong>
to keep	tenere<br><br><strong>tenni</strong>, tenesti, <strong>tenne</strong>, tenemmo, teneste, <strong>tennero</strong>
to want	volere<br><br><strong>volli</strong>, volesti, <strong>volle</strong>, volemmo, voleste, <strong>vollero</strong>
to drink	bere<br><br><strong>bevvi</strong>, bevesti, <strong>bevve</strong>, bevemmo, beveste, <strong>bevvero</strong>
allowed	permettere
to gather	riunirsi
programs	programmi
sacrifices	sacrifice
variety show	programmi di varietà
country	paese
dreamed	sognato
lakes	laghi
regions	regioni
spent	speso
surroundings	dintorni
sights	vedute, panorami
tire	stancare
now	adesso
to feel like	avere voglia
camping	campeggio
cool	fresco
a small Italian car	mini
van	pulmino
before	prima
pleasant	simpatico
alliance	alleanza
ambitious	ambizioso
dictatorship	dittatura
empire	impero
square	piazzale
followed	seguirono
suggested	suggeriva
to wish	desiderare
to hope	sperare
to prefer	preferire
to want	volere
to get angry	arrabbiarsi
to be afraid	avere paura
to be sorry	dispiacersi
to be happy, sad	essere contento, triste
to fear	temere
to demand	esigere
to order	ordinare
to demand, to claim	pretendere
to request, to demand	richiedere
to let	lasciare
to allow, to permit	consentire
to prevent	impedire
to allow	permettere
to forbid	proibire
It is necessary that . . .	È necessario che...
It is enough that . . .	Basta che...
It is probable that . . .	È probabile che...
It is a pity that . . .	È peccato che...
It is opportune that . . .	È opportuno che...
It is rare that . . .	È raro che...
It is improbable that . . .	È improbabile che...
It is possible that . . .	È facile che...
It is good that . . .	È bene che...
It is difficult that . . .	È difficile che...
It is necessary that . . .	È necessario che...
It is better that . . .	È meglio che...
It is necessary that . . .	Bisogna che...
It is right that . . .	È giusto che...
It is important that . . .	È importante che...
It is possible that . . .	È possibile che...
It is impossible that . . .	È impossibile che...
It is preferable that . . .	È preferibile che...
It is not important that . . .	Non importa che...
It is certain that . . .	È certo che...
It is obvious that . . .	È evidente che...
It is obvious that . . .	È ovvio che...
It is clear that . . .	È chiaro che...
unless	a meno che
provided that	a patto che
in order that	affinché
although	benché
so that	cosí che
after	dopo che
until	finché non
although	malgrado
although	nonostante che
before	prima che
provided that	purché
although, even if	sebbene
without	senza che
whoever	chiunque
wherever	dovunque
wherever	ovunque
whatever	qualunque
increases (n.)	aumenti
to wish, want	avere voglia
justify	giustificare
workers	lavoratori
merchandise	merci
to obtain	ottenere
strike	sciopero
unions	sindacati
to hire	assumere
blouse	camicetta
skirt	gonna
island	isola
fashion	moda
brochures	opuscoli
pool	piscina
silk	seta
beach	spiaggia
shop windows	vetrine
key	chiave
desperate	disperata
nothing	niente
to be needed	occorreva
presentation	presentazione
extensions, cables	prolunghe
extra	riserva
to joke	scherzare
expect	aspettarsi
wonderful	meravigliose
guests	ospiti
runs	piste
ski resort	località sciistica
bomb experts	artificieri
blocked	bloccata
railway (adj.)	ferroviario
sewers	fognatura
unexploded	inesplosa
whole/entire	intera
repercussions	ripercussioni
to dig	scavare
to be . . . years old	avere (aver)... anni
to need	aver(e) bisogno di
to feel (be) warm	aver(e) caldo
to be hungry	aver(e) fame
to be cold	aver(e) freddo
to be in a hurry	aver(e) fretta
to have the impression	aver(e) l’impressione (di)
to have the intention	aver(e) l’intenzione (di)
to have an ache	aver(e) mal (di)
to be afraid	aver(e) paura (di)
to be right	aver(e) ragione (di)
to be thirsty	aver(e) sete
to be sleepy	aver(e) sonno
to be wrong	aver(e) torto (di)
to be ashamed	aver(e) vergogna (di)
to feel like doing	aver(e) voglia (di)
to pay attention	fare attenzione
to make a good, bad impression	far(e) bella, brutta figura
to get gas	far(e) benzina
it is warm, cold	fa caldo, freddo
to be successful	far(e) carriera
to impress someone	far(e) colpo su qualcuno
to have breakfast	far(e) colazione
to go shopping	far(e) compere
to exercise	far(e) esercizio
to take pictures	far(e) fotografie
to take a bath	far(e) il bagno
to make the acquaintance	far(e) la conoscenza (di)
to take a cruise	far(e) una crociera
to take a shower	far(e) la doccia
to fill up with gas	far(e) il pieno
to get groceries	far(e) la spesa
to hurt,	far(e) male
to be part of	far parte (di)
to take a walk	far(e) una passeggiata
to hurry up	far(e) presto
to progress	far(e) progresso
to chat	far(e) quattro chiacchiere
to go camping	far(e) il campeggio
to pay a compliment	far(e) un complimento
to go Dutch	far(e) alla romana
to make a speech	far(e) un discorso
to preach	fare la predica
to ask a question	fare una domanda
to take a tour	fare un giro
to have a snack	fare uno spuntino
to take a trip	fare un viaggio
to give a gift	fare un regalo
to pay a visit	fare una visita
to get hurt	farsi male
to do a favor	fare un favore (a)
to do a favor	fare un piacere (a)
to show someone	far vedere a qualcuno
fireplace	caminetto
country	campagna
company	ditta
masons	muratori
estimate	preventivo
to remodel	restaurare
to listen to someone	dare ascolto
to feed, to give something to eat (drink)	dar(e) da mangiare (bere)
to use the informal way of speaking	dar(e) del tu
to bother someone	dar(e) fastidio(a)
to give regards, greetings	dare i saluti (a)
to welcome	dare il benvenuto (a)
to shake hands	dar(e) la mano (a)
to admit someone is right	dar(e) ragione
to blame	dar(e) la colpa (a)
to face (the sea, the square, etc.)	dar(e) su (il mare, la piazza, ecc.)
to take a test	dare un esame
to show a movie	dare un film
to let out a yell	dare un urlo
to give a lift	dare un passaggio
to punch	dare un pugno
to kick	dare un calcio
to give an answer/response	dare una risposta
to sigh	dare un sospiro (di)
to get busy	darsi da fare
to give up	darsi per vinto
to devote oneself to one’s studies	darsi agli studi
to walk, to go by foot	andare a piedi
to go to the theater	andare a teatro
to walk arm in arm	andare a braccetto
to go horseback riding	andare a cavallo
to go fishing	andare a pescare
to go well	andare bene
to go badly	andare male
to get along	andare d’accordo
to go during the day, in the evening	andare di giorno, di sera
to go by car	andare in macchina
to go by plane, train, bicycle	andare in aereo, in treno, in bicicletta
to go on business	andare per affari
to go on sale	andare in vendita
coach	allenatore
hit	colpito
discussed	discusso
team	squadra
opposite	opposta
reason	motivo
suspended	sospeso
respectful	rispettoso
leave something or someone alone	lasciare stare
to pay attention	stare attento/a (a)
to keep still	star(e) fermo/a
to fit like a glove	stare a pennello
to be well (sick); to fit well (badly)	star(e) bene (male)
to stay in the house	stare in casa
to be standing	stare in piedi
to be sitting	star(e) seduto/a
to be quiet	star(e) zitto/a
to be at somebody’s (home, office, etc.)	star(e) da...
to do nothing	star(e) con le mani in mano
to do nothing	star(e) con le mani in tasca
to be about	star(e) per...
to wait and see	stare a vedere
to attend	assistere a
to resemble	assomigliare a
to believe in	credere a
to feed	dare da mangiare a
to bother	dare fastidio
to chase	dare la caccia a
to bother	dare noia a
to listen to	dare retta a
to blame	dare torto a
to kick	dare un calcio a
to punch	dare un pugno a
to pay attention	fare attenzione a
to be good (bad)	fare bene (male) a
to please	fare piacere a
to show	far vedere a
to visit	fare visita a
to give a present to	fare un regalo a
to play a game	giocare a
to be interested in	interessarsi a
to participate in	partecipare a
to think about	pensare a
to ask favors of	raccomandarsi a
to remind	ricordare a
to give up	rinunciare a
to be good for	servire a
to shake hands with	stringere la mano a
to care about	tenere a
to get used to	abituarsi a
to hurry	affrettarsi a
to help	aiutare a
to begin	cominciare a
to continue	continuare a
to convince	convincere a
to compel	costringere a
to decide	decidersi a
to have fun	divertirsi a
to be better off	fare meglio a
to do fast	fare presto a
to learn	imparare a
to encourage	incoraggiare a
to teach	insegnare a
to invite to	invitare a
to send	mandare a
to oblige	obbligare a
to think about	pensare a
to convince	persuadere a
to prepare	preparare a
to try	provare a
to give up	rinunciare a
to resume	riprendere a
to succeed	riuscire a
to hurry	sbrigarsi a
to be good for	servire a
to go	andare a
to run	correre a
to stop	fermarsi a
to stop by	passare a
to stay	stare a
to return	tornare a
to come	venire a
to notice, realize	accorgersi di
to need	avere bisogno di
to be afraid	avere paura di
to forget	dimenticarsi di
to trust	fidarsi di
to fall in love	innamorarsi di
to be interested in	interessarsi di
to complain	lamentarsi di
to be surprised	meravigliarsi di
to feed on	nutrirsi di
to plan	occuparsi di
to think about	pensare di
to worry about	preoccuparsi di
to remember	ricordarsi di
to laugh at	ridere di
to suffer from	soffrire di
to deal with	trattare di
to live on	vivere di
to notice, accept	accettare di
to need	ammettere di
to wait for	aspettare di
to wish	augurare di
to need	avere bisogno di
to try	cercare di
to ask	chiedere di
to confess	confessare di
to advise	consigliare di
to plan	contare di
to believe	credere di
to decide	decidere di
to forget	dimenticare di
to doubt	dubitare di
to pretend	fingere di
to finish	finire di
to order	ordinare di
to plan	pensare di
to permit	permettere di
to beg	pregare di
to prohibit	proibire di
to promise	promettere di
to propose	proporre di
to thank	ringraziare di
to know	sapere di
to stop	smettere di
to hope	sperare di
to suggest	suggerire di
to attempt	tentare di
to avoid	vietare di
to count on	contare su
to swear on	giurare su
to reflect on	riflettere su
to bet on	scommettere su
to love	amare
to wish	desiderare
to have to, must	dovere
to make, do	fare
to appreciate	gradire
to let, allow	lasciare
to like	piacere
to be able	potere
to prefer	preferire
to know how	sapere
to want	volere
because	dal momento che
since, because	dato che
since	giacchè
because	perchè
since, because	poichè
since, because	siccome
even if	anche se
rather than	piuttosto che
even	sebbene
as . . . as	così… come
better . . . than	meglio… che
less/fewer than	meno… di
more . . . than	più… che
rather than	piuttosto che
as much . . . as	tanto… quanto
unless	a meno che
on condition that	a patto che
even if	anche se
as long as	purchè
when	qualora
if	se
on the contrary	al contrario
though, although	anche se
while, instead	invece
but	ma
except, unless	salvo che
how	come
why	perchè
when	quando
how much	quanto
if	se
where	dove
anywhere	ovunque
so that	affinchè
unless	a meno che
so	così
so that	così che
in order that	in modo che
as	come
anyhow	comunque
because	dato che
because, why	perchè
though, although	quantunque
since	siccome
as	come
as if	come se
whichever way	comunque
in the way which	nel modo che
almost	quasi
so that	affinchè
unless	a meno che
so	così
so that	così che
in order that	in modo che
when	allorchè
as soon as	appena
as soon as	come
since	da quando
after	dopo che
until	fino a che
while	mentre
every time that	ogni volta che
before	prima che
when	quando
once	una volta che
red	rosso
green	verde
yellow	giallo
black	nero
purplish	violaceo
long	lungo
large	largo
narrow, tight	stretto
big	grande
wide	vasto
small	piccolo
tall	alto
stocky	robusto
florid	orido
solid	solido
liquid	liquid
slender	longilineo
bronze	bronzeo
marble	marmoreo
wooden	ligneo
happy	felice
sad	triste
curious	curioso
anxious	ansioso
melancholic	malinconico
tired	stanco
rested	riposato
relaxed	rilassato
new	nuovo
warm	caldo
cold	freddo
sweet	dolce
spicy	piccante
rocky	roccioso
dangerous	pericoloso
square	quadrato
round	rotondo
triangular	triangolare
daily	quotidiano
daytime	diuron
nighttime	notturno
evening time	serale
wintertime	invernale
summertime	estivo
the beautiful	i belli
good manners	le buone
bad manners	le cattive
the weak	i deboli
sweets	i dolci
the future	il futuro
the young	le giovani
the impossible	l’impossibile
the World Cup	i mondiali
the possible	il possibile
the poor	i poveri
the daily (newspaper)	il quotidiano
the rich	i ricchi
salty snacks	i salatini
the studious	gli studiosi
the fearless	i temerari
the shy	i timidi
the old	i vecchi
very happy	arcicontento
hyperactive	iperattivo
overly critical	ipercritico
overly sensitive	ipersensibile
very big	stragrande
very loaded	stracarico
very full	strapieno
overcrowded	superaffollato
very convenient	superconveniente
good	POSITIVE | COMPARATIVE OF MAJORITY / ABSOLUTE SUPERLATIVE / RELATIVE SUPERLATIVE<br><br>buono | più buono/migliore buonissimo/ottimo il migliore di…
bad	cattivo | più cattivo/peggiore cattivissimo/pessimo il peggiore di…
big	grande | più grande/maggiore grandissimo/massimo il maggiore di…
small	piccolo | più piccolo/minore piccolissimo/minimo il minore di…
sour	acre | acerrimo
intact	integro | integerrimo
sour	aspro | asperrimo
miserable	misero | miserrimo
famous	celebre | celeberrimo
healthy	salubre | saluberrimo
beneficial	benefico | beneficentissimo
benevolent	benevolo | benevolentissimo
malevolent	malevolo | malevolentissimo
cursed	maledico | maledicentissimo
evil	malefico | maleficentissimo
munificent	munifico | munificentissimo
open | openly	FEMININE ADJECTIVE | ADVERB<br><br>aperta | apertamente
brilliant | brilliantly	brillante | brillantemente
certain | certainly	certa | certamente
strong | strongly	forte | fortemente
fortunate | fortunately	fortunata | fortunatamente
generous | generously	generosa | generosamente
rare | rarely	rara | raramente
unfortunate | unfortunately	sfortunata | sfortunatamente
agile | agilely	FEMININE ADJECTIVE | ADVERB<br><br>agile | agilmente 
banal | banally	banale | banalmente
casual | casually	casuale | casualmente
general | generally	generale | generalmente
regular | regularly	regolare | regolarmente
facedown	a bocconi
on all fours	a carponi
astride	a cavalcioni
hanging	a penzoloni
clearly	chiaro
slowly	piano
dark	scuro
hard	sodo 
crookedly	storto 
well, fine	bene 
so	così
together	insieme
in vain	invano
badly	male
willingly	volentieri
in front 	davanti
inside 	dentro
outside 	fuori
around 	intorno
further	oltre
up here	quassù
on (top)	sopra
underneath	sotto
near	vicino
on the right 	a destra
on the left	a sinistra
from far away 	da lontano
this way	di quì
under	di sotto
in the surroundings	nei dintorni
that way	per di là
now	adesso
again	ancora
tomorrow	domani
after	dopo
already	già
never	giammai
yesterday	ieri
never	mai
now	ora
by now	ormai
later, then	poi
recently	recentemente
always	sempre
often	sovente
right away	subito
late	tardi
once in a while 	di quando in quando
usually 	di solito
for good	per sempre
some time ago	tempo fa
once	una volta
enough	abbastanza
at least	almeno
just	appena
very much	assai
about	circa
much, several	parecchio
more	più
a little	poco
almost	quasi
a lot, much	tanto
too much	troppo
a lot	a bizzeffa
about	all’incirca
less	di meno
more	di più
about	press’a poco
more or less	su per giù
certainly	certamente
sure	certo
exactly	esattamente
really	proprio
yes	sì
surely	sicuramente
not even	neanche
not even	nemmeno
neither	neppure
no	no
not	non
about	circa
eventually	eventualmente
maybe	forse
maybe	magari
possibly	possibilmente
presumably	presumibilmente
probably	probabilmente
how, what	come
where	dove
why	perchè
when	quando
how much	quanto
I, me, me	SUBJECT PRONOUNS / STRONG PRONOUNS / WEAK PRONOUNS<br><br>io | me | mi
you, you, you (sing.)	tu | te | ti
he, him, him (it)	lui | lui | lo
she, her, her (it)	lei | sè | la
we, us, us	noi | noi | ci
you, you, your (pl.)	voi | voi | vi
they, them, them	loro | loro | li/le
I	io
you (sing.)	tu
he	lui
she	lei
you	Lei
we	noi
you (plur.)	voi
they	loro
you (formal)	Loro
myself	mi
yourself (sing.)	ti
himself	si
herself	si
yourself	si
ourselves	ci
yourselves (plur.)	vi
themselves	si
yourselves (formal)	si
on condition that	a condizione che
so that	affinchè
as soon as	appena che
although	benchè
as if	come se
after	dopo che
on condition that	nel caso che
despite	nonostante
so that	perchè
before	prima che
provided that	purchè
although	sebbene
without	senza che
whoever	chiunque
wherever	dovunque
any	qualsiasi
any	qualunque
whatever	qualunque cosa
It is good/bad that	È bene/male che
It is fair that	È giusto che
It is impossible that	È impossibile che
It is better that	È meglio che
It is necessary that	È necessario che
It is convenient that	È opportuno che
It is possible that	È possibile che
It is useful/useless that	È utile/inutile che
to need	avere bisogno
to be enough	bastare
to be necessary	bisognare
to be worth	convenire
to need	occorrere
to be worth	valere la pena
to wait	aspettare
to expect	aspettarsi
to wish	augurarsi
to be afraid	avere paura
to allow	consentire
to believe	credere
to wish	desiderare
to doubt	dubitare
to be happy	essere contento
to order	ordinare
to hope	sperare
to fear	temere
apple tree	il melo 
orange tree	l’arancio (f.)
pear tree	il pero
oak tree	la quercia 
palm tree	la palma
gold	l’oro (m.)
silver	l’argento (m.)
oxygen	l’ossigeno (m.)
Mont Blanc	il Monte Bianco 
Arno river	l’Arno (f.)
Mediterranean sea	il Mediterraneo
apple	la mela 
orange	l’arancia (f.)
pear	la pera
lemon	il limone 
fig	il fico 
grapefruit	il pompelmo
physics 	la fisica 
chemistry	la chimica 
mathematics	la matematica 
music	la musica
Europe	l’Europa (f.)
Italy	l’Italia  (f.)
Tuscany	la Toscana 
ancient Rome	la Roma antica
age	l’età (f.)
city	la città 
university	l’università (f.)
youth	la gioventù
station	la stazione 
writer	la scrittrice 
species	la specie 
origin	l’origine
analysis	l’analisi (f.)
crisis	la crisi 
thesis	la tesi 
metropolis	la metropoli 
diagnosis	la diagnosi
problem	il problema
system	il sistema 
melodrama	il melodramma 
poem	il poema
soap	il sapone 
color	il colore 
newspaper	il giornale 
bell tower	il campanile
car	l’automobile (f.)
nation	nazione  (f.)
situation	situazione (f.)
illustration	illustrazione (f.)
doctor	dottore (m.)
tractor	trattore  (m.)
actor	attore  (m.)
promotor	promotore  (m.)
prince/princess	principe | principessa 
professor	professore | professoressa 
student	studente | studentessa 
writer	scrittore | scrittrice 
director	direttore | direttrice 
actor/actress	attore | attrice 
god | goddess	dio | dea
king | queen	re | regina
dog | female dog	cane | cagna
rooster | hen	gallo | gallina
father | mother	padre | madre
brother | sister	fratello | sorella
husband | wife	marito | moglie
son-in-law | daughter-in-law	genero | nuora
male | female	maschio | femmina
man | woman	uomo | donna
nephew / niece, grandson / granddaughter	il nipote | la nipote 
relative	il parente | la parente 
pianist	il pianista | la pianista 
artist	l’artista | l’artista 
socialist	il socialista | la socialista 
colleague	il collega | la collega 
athlete	l’atleta | l’atleta 
roadrunner	il maratoneta | la maratoneta 
singer	il cantante | la cantante 
lover	l’amante | l’amante 
teacher	l’insegnante | l’insegnante 
president	il presidente | la presidente 
executive	il dirigente | la dirigente 
case | house	il caso | la casa
hit | fault	il colpo | la colpa
thread | line, cue	il filo | la fila
way | fashion	il modo | la moda
gold | hour	l’oro | l’ora
seaport | door	il porto \ la porta
lawyer | soprano	l’avvocato | il soprano
physician | mezzo-soprano	il medico | il mezzosoprano
engineer | alto	l’ingegnere | il contralto
architect | teacher	l’architetto | il maestro
the president	il/la presidente 
the acquaintance	il/la conoscente 
the superintendent	il/la sovrintendente 
a book 	un libro 
a friend	un amico 
uncle 	uno zio 
psychologist 	uno psicologo 
type of pasta	uno gnocco 
student	uno studente 
yoghurt	uno yoghurt
music	una musica 
female student	una studentessa 
air	un’aria (f.)
car	un’automobile (f.)
a pretty friend	un’amica una bella amica 
a strange book	un libro uno strano libro 
singer | singers	il cantante | i cantanti
violin | violins	il violin | i violini
student (m.)	lo student
uncle | uncles	lo zio | gli zii
yoghurt	lo yoghurt
spaghetti	gli spaghetti
iodine	lo iodio
gnocci	gli gnocchi
psychologists	gli psicologi
the United States	gli Stati Uniti
friend | friends	l’amico | gli amici
tree | trees	l’albero | gli alberi
sister | sisters	la sorella | le sorelle
mathematics	la matematica 
student (f.)	le studentesse
friend (f.) | friends (f.)	l’amica | le amiche
America | Americas	l’America | le Americhe
fear	la paura 
thirst	la sete 
need	il bisogno
wood 	il legno 
water	l’acqua 
air	l’aria 
iron	il ferro
life 	la vita 
mankind	l’uomo 
flowers	i fiori 
tomatoes	i pomodori 
violinists	i violinisti
blue shoes	scarpe blu 
purple flowers	fiori viola 
chic restaurant	ristorante chic
dark green gloves	guanti verde bottiglia
bright red shoes	scarpe rosso fiamma
pale pink flower	fiore rosa pallido
little	poco 
much	molto 
too much	troppo 
all other	tutto altro
the small child	il piccolo bambino 
the rich banker	il ricco banchiere 
the good singer	la brava cantante
a good job	un buon lavoro 
a terrible ordeal	un brutto affare 
a good idea	una buon’idea
a big man	un uomo grande 
a great man	un grand’uomo
an expensive product	un prodotto caro 
a dear friend	un caro amico
Where are you?	Dove siete? 
here	qui, qua 
down	giù 
near	vicino 
inside	dentro 
in front of	davanti 
above	sopra 
We’re over here!	Siamo qui! 
there	lì, là 
up there	su 
far	lontano 
outside	fuori 
behind	dietro 
beneath	sotto 
When are we going?	Quando andiamo? 
today	oggi 
yesterday	ieri 
now	ora, adesso 
before	prima 
always	sempre 
soon	presto 
Tomorrow night.	Domani sera. 
tomorrow	domani 
the day after tomorrow	dopodomani 
in a little while	fra poco 
later	dopo 
never	mai 
late	tardi 
How much does it cost?	Quanto costa? 
a lot	molto, tanto 
more	più 
rather, enough	abbastanza, piuttosto
almost	quasi 
It costs a lot.	Costa molto.
a little	un po’, un poco, poco
less	meno
too much	troppo
exactly	esattamente 
precisely	precisamente 
right	appunto 
really	davvero
as a child	da piccolo 
usually	di solito 
always	sempre 
generally	generalmente 
every day, summer, etc.	ogni giorno, estate 
while	mentre 
one day	un giorno 
once	una volta 
ten years ago	dieci anni fa 
tomorrow	domani 
the day after tomorrow	dopodomani 
soon	presto 
next week	la settimana prossima 
next month / next year	il mese / l’anno prossimo 
in a year	fra un anno 
when	quando 
as soon as	appena 
I think	Penso
I hope	Spero
It seems	Sembra
I doubt	Dubito
I believe	Credo
I fear	Temo
I am afraid	Ho paura
although	sebbene 
as long as	purché 
provided that	a condizione che 
unless	a meno che non 
without	senza che 
it is possible that	è possibile che 
it is probable that	è probabile che 
without + verb	senza che 
before + verb	prima che 
tennis shoes	scarpe da tennis 
gym clothes	tuta da ginnastica 
swimsuit	costume da bagno
nothing to do	niente da fare 
something to eat	qualcosa da mangiare
David’s book	il libro di Davide 
my mother’s voice	la voce di mia madre
I am from Rome.	Sono di Roma.
a bottle of white wine	una bottiglia di vino bianco 
a liter of milk	un litro di latte
a million euros	un milione di euro 
a billion years ago	un miliardo di anni fa
a linen dress	un vestito di lino 
a silver spoon	un cucchiaio d’argento 
a leather jacket	una giacca di pelle
through	attraverso 
during	durante 
by (a certain amount of time)	entro 
except	salvo, tranne 
less	meno 
according	secondo 
along	lungo 
despite	malgrado 
next to	accanto a 
in front of	davanti a 
regarding	rispetto a 
thanks to	grazie a 
together with	insieme a / con 
until	fino a 
near to	vicino a 
far from	lontano da 
before	prima di 
instead of	invece di 
in the midst of	in mezzo a 
based on	in base a 
at the top of	in cima a 
a following	in seguito 
beyond	al di là di 
because of	a causa di 
to the right / left of	a destra / sinistra di 
except for	a eccezione di 
early	di buon’ora | presto 
by far	di gran lunga | moltissimo 
suddenly	di punto in bianco | all’improvviso 
point-blank	a bruciapelo | velocemente 
to end up	andare affinire | concludersi 
in the long run	a lungo andare | dopo molto tempo 
barely	a mala pena | con difficoltà 
in private	a quattr’occhi | privatamente 
simply	alla buona | semplicemente 
to have your act together	in gamba | con molte qualità 
idle, not lifting a finger	con le mani in mano | senza fare niente 
at once, quickly	su due piedi | immediatamente 
more or less	su per giù | all’incirca 
worried	sulle spine | nervoso, preoccupato 
to get busy	darsi da fare | prendere iniziativa 
I mean	faccio per dire | voglio dire 
to be about to	stare per | accingersi a 
at home	a casa 
to the theater	a teatro 
on foot	a piedi 
to school	a scuola 
to bed	a letto 
to Italy	in Italia 
by train	in treno 
in the kitchen	in cucina 
actually	in realtà 
actually	in effetti 
in any case	in ogni caso 
between us	tra noi/fra noi 
to Giovanni’s place, home	da Giovanni 
as a child	da piccolo/a 
tennis shoes	scarpe da tennis 
a lot to do	molto da fare 
something to drink	qualcosa da bere 
Roberto’s	di Roberto 
in the morning	di mattina 
in the evening	di sera 
usually	di solito 
don’t mention it	di niente 
to love	amare 
to listen	ascoltare 
to drink	bere
to call	chiamare
to know	conoscere
to look at	guardare
to invite	invitare
to eat	mangiare
to lose	perdere
to take	prendere
to hear	sentire
to study	studiare
to find	trovare
to see	vedere
to be missing	mancare a
to seem to	parere a
to be pleasing to	piacere a
to answer	rispondere a
to seem to	sembrare a
to ask	chiedere
to give	dare
to say	dire
to do	fare
to read	leggere
to send	mandare
to offer	offrire
to bring	portare
to give a gift	regalare
to write	scrivere
to sell	vendere
to ask	chiedere a
to tell	dire a
to answer	rispondere a
to phone	telefonare a
to please	piacere a
to listen to	ascoltare
to wait for	aspettare
against	contro
behind	dietro
after	dopo
in / between	fra / tra
without	senza
above	sopra
underneath	sotto
on	su
